day,found_item,cloud_cover,collection,id,assets,bbox,platform
2017-01-04,False,,,,,,
2017-01-11,False,,,,,,
2017-01-18,False,,,,,,
2017-01-25,False,,,,,,
2017-02-01,False,,,,,,
2017-02-08,False,,,,,,
2017-02-15,False,,,,,,
2017-02-22,False,,,,,,
2017-03-01,False,,,,,,
2017-03-08,False,,,,,,
2017-03-15,False,,,,,,
